Split Jerk,['Front Deltoid'],"['Quads', 'Glutes', 'Adductors', 'Lower Back', 'Trapezius', 'Triceps', 'Lateral Deltoid']"
Barbell Curl,['Biceps'],['Forearm Flexors']
Barbell Preacher Curl,['Biceps'],['Forearm Flexors']
Bodyweight Curl,"['Biceps', 'Lats']",['Forearm Flexors']
Cable Curl With Bar,['Biceps'],['Forearm Flexors']
Cable Curl With Rope,['Biceps'],['Forearm Flexors']
Concentration Curl,['Biceps'],['Forearm Flexors']
Dumbbell Curl,['Biceps'],['Forearm Flexors']
Dumbbell Preacher Curl,['Biceps'],['Forearm Flexors']
Hammer Curl,['Biceps'],['Forearm Flexors']
Incline Dumbbell Curl,['Biceps'],['Forearm Flexors']
Machine Bicep Curl,['Biceps'],['Forearm Flexors']
Spider Curl,['Biceps'],['Forearm Flexors']
Barbell Standing Triceps Extension,['Triceps'],[]
Barbell Lying Triceps Extension,['Triceps'],[]
Bench Dip,['Triceps'],"['Chest', 'Front Deltoid']"
Close-Grip Push-Up,['Triceps'],"['Abs', 'Chest', 'Front Deltoid']"
Dumbbell Lying Triceps Extension,[],[]
Dumbbell Standing Triceps Extension,['Triceps'],[]
Overhead Cable Triceps Extension,['Triceps'],[]
Tricep Bodyweight Extension,['Triceps'],[]
Tricep Pushdown With Bar,['Triceps'],"['bench presses', 'shoulder presses', 'push-ups']"
Tricep Pushdown With Rope,['Triceps'],"['bench presses', 'shoulder presses', 'push-ups']"
Air Squat,"['Quads', 'Glutes', 'Adductors']",['Calves']
Barbell Hack Squat,['Quads'],"['Glutes', 'Adductors', 'Lower Back', 'Trapezius', 'Forearm Flexors', 'Calves']"
Barbell Lunge,"['Quads', 'Glutes', 'Adductors']",[]
Barbell Walking Lunge,"['Quads', 'Glutes', 'Adductors']",[]
Belt Squat,"['Quads', 'Glutes', 'Adductors']",['Calves']
Body Weight Lunge,"['Quads', 'Glutes', 'Adductors']",[]
Bodyweight Leg Curl,['Hamstrings'],['Glutes']
Box Jump,"['Quads', 'Glutes', 'Adductors']",['Calves']
Box Squat,"['Quads', 'Glutes', 'Adductors', 'Lower Back']",['Calves']
Bulgarian Split Squat,"['Quads', 'Glutes', 'Adductors']","['muscle growth', 'fix muscle imbalances', 'squat training', 'leg muscles']"
Chair Squat,"['Quads', 'Glutes', 'Adductors']",['Calves']
Dumbbell Lunge,"['Quads', 'Glutes', 'Adductors']",['Forearm Flexors']
Dumbbell Squat,"['Quads', 'Glutes', 'Adductors', 'Lower Back']",['Calves']
Front Squat,"['Quads', 'Glutes', 'Adductors', 'Lower Back']",['Calves']
Goblet Squat,"['Quads', 'Glutes', 'Adductors']","['Lower Back', 'Calves']"
